input_dataset,method,agents,agent_topk,avg_top1,val_avg_top1,seed,irl_lr,irl_epochs,irl_greedy,irl_tau,irl_weights,dt_negatives,dt_max_depth
ticket_log_FCFS.csv,random,"Alice,Bob,Carol","{'Alice': [0.35135135135135137, 0.44594594594594594, 0.5540540540540541], 'Bob': [0.22535211267605634, 0.4084507042253521, 0.5211267605633803], 'Carol': [0.34545454545454546, 0.509090909090909, 0.6363636363636364]}",0.30738600316065107,,42,0.005,100,False,1.0,,50,5
ticket_log_FCFS.csv,fifo,"Alice,Bob,Carol","{'Alice': [1.0, 1.0, 1.0], 'Bob': [1.0, 1.0, 1.0], 'Carol': [1.0, 1.0, 1.0]}",1.0,,42,0.005,100,False,1.0,,50,5
ticket_log_FCFS.csv,irl,"Alice,Bob,Carol","{'Alice': [0.5675675675675675, 0.7432432432432432, 0.8648648648648649], 'Bob': [0.49295774647887325, 0.647887323943662, 0.7323943661971831], 'Carol': [0.6363636363636364, 0.7636363636363637, 0.8909090909090909]}",0.5656296501366924,0.7150123685837971,42,0.001,100,True,1.0,"{'Alice': array([-0.11495644,  0.69345888,  0.64725373,  0.68357278,  0.26103501,
        0.27036691,  0.2244128 , -0.0439635 ,  3.32015107, -1.39170512]), 'Carol': array([-0.03539516,  0.62634608,  0.70332408,  0.70540507,  0.33378804,
        0.26124796,  0.18537715, -0.018257  ,  3.53402155, -0.50780178]), 'Bob': array([ 0.06197648,  0.67546924,  0.65454752,  0.6874185 ,  0.25790089,
        0.34098236,  0.19426547, -0.0292346 ,  3.0984285 , -1.46282442])}",50,5
ticket_log_FCFS.csv,irl,"Alice,Bob,Carol","{'Alice': [0.7162162162162162, 0.9054054054054054, 0.9594594594594594], 'Bob': [0.6338028169014085, 0.8169014084507042, 0.9577464788732394], 'Carol': [0.7454545454545455, 0.9454545454545454, 1.0]}",0.6984911928573901,0.7730519480519481,42,0.005,100,True,1.0,"{'Alice': array([-0.09836333,  0.70129986,  0.64247407,  0.68054375,  0.26026627,
        0.27221809,  0.22266971, -0.04989558,  7.92835068, -0.79650415]), 'Carol': array([-0.05292931,  0.62737341,  0.69468769,  0.71296489,  0.34089347,
        0.25478336,  0.18599847, -0.02202697,  8.15386791,  0.03888627]), 'Bob': array([ 0.06297323,  0.67928608,  0.63965095,  0.69874213,  0.27475566,
        0.31777984,  0.20698557, -0.05501226,  7.30519316, -0.84938761])}",50,5
ticket_log_FCFS.csv,irl,"Alice,Bob,Carol","{'Alice': [0.6351351351351351, 0.8108108108108109, 0.918918918918919], 'Bob': [0.5211267605633803, 0.8309859154929577, 0.9154929577464789], 'Carol': [0.5818181818181818, 0.8, 0.9636363636363636]}",0.579360025838899,0.7093692022263451,42,0.01,100,True,1.0,"{'Alice': array([-0.03444281,  0.86821765,  0.51934334,  0.63793371,  0.52516498,
       -0.08920265,  0.4196544 , -0.08772134, 12.34478261, -0.8095577 ]), 'Carol': array([-0.08548371,  0.54722455,  0.69187222,  0.79567274,  0.55117308,
       -0.02195347,  0.32621789, -0.01452353, 12.03025063,  0.06701245]), 'Bob': array([ 0.10579587,  0.5819819 ,  0.58914952,  0.84938977,  0.44662575,
        0.08035598,  0.33785085, -0.08913805, 10.85113429, -0.75659873])}",50,5
ticket_log_FCFS.csv,irl,"Alice,Bob,Carol","{'Alice': [0.581081081081081, 0.7162162162162162, 0.7972972972972973], 'Bob': [0.49295774647887325, 0.6338028169014085, 0.7887323943661971], 'Carol': [0.5454545454545454, 0.7090909090909091, 0.8363636363636363]}",0.5398311243381665,0.7425324675324676,42,0.05,100,True,1.0,"{'Alice': array([ 0.13494282, -1.54261722,  2.17709371,  1.37677997, -4.87697008,
        4.34768933,  0.68573831,  0.37004172, 55.52531778, -2.68565224]), 'Carol': array([-0.53790038,  2.33401271, -2.3264705 ,  2.01428158, -0.05143522,
        2.24264353, -2.17437546,  0.21477095, 51.22529844,  0.336917  ]), 'Bob': array([-0.69277666,  3.25099566,  1.80111153, -3.10589324, -0.62370273,
        1.70758095, -0.68557259, -0.14256484, 44.74047982, -2.81839877])}",50,5
ticket_log_FCFS.csv,irl,"Alice,Bob,Carol","{'Alice': [0.527027027027027, 0.7702702702702703, 0.8243243243243243], 'Bob': [0.4788732394366197, 0.647887323943662, 0.8028169014084507], 'Carol': [0.5454545454545454, 0.7636363636363637, 0.8909090909090909]}",0.5171182706393974,0.7153215831787261,42,0.1,100,True,1.0,"{'Alice': array([  2.44921372,  -3.666176  ,   1.07501089,   4.64852941,
         2.55549071,  -3.50929186,   2.87842972,  -2.69075471,
       111.1948854 ,  -7.02041796]), 'Carol': array([-2.68177090e+00, -2.09122788e+00,  5.58428122e+00, -1.43653027e+00,
        5.05896939e-01, -2.85359208e+00,  4.41959012e+00,  6.29463474e-01,
        1.02133446e+02,  2.88260547e-02]), 'Bob': array([-1.48502929e+00,  5.71332402e+00,  3.12646245e+00, -6.96648928e+00,
       -1.07532060e+00,  2.56589472e+00, -1.35818871e+00,  1.92005551e-02,
        8.78684867e+01, -5.28412438e+00])}",50,5
ticket_log_FCFS.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.12162162162162163, 0.2702702702702703, 0.33783783783783783], 'Bob': [0.18309859154929578, 0.30985915492957744, 0.4647887323943662], 'Carol': [0.16363636363636364, 0.34545454545454546, 0.45454545454545453]}",0.15611885893576036,0.4903834260977118,42,0.005,100,False,1.0,,10,5
ticket_log_FCFS.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.10810810810810811, 0.1891891891891892, 0.2702702702702703], 'Bob': [0.16901408450704225, 0.30985915492957744, 0.4225352112676056], 'Carol': [0.2909090909090909, 0.45454545454545453, 0.5454545454545454]}",0.18934376117474708,0.4834724799010513,42,0.005,100,False,1.0,,10,10
ticket_log_FCFS.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.10810810810810811, 0.1891891891891892, 0.25675675675675674], 'Bob': [0.1267605633802817, 0.2535211267605634, 0.323943661971831], 'Carol': [0.16363636363636364, 0.3090909090909091, 0.38181818181818183]}",0.13283501170825116,0.46614100185528756,42,0.005,100,False,1.0,,10,20
